date,pair,direction,entry_time_utc,breakout_time_utc,entry_time_local,breakout_time_local,entry,entry_limit,sl,tp,rr,lot,risk_pips,reward_pips,risk_usd_est,reward_usd_est,risk_pct_balance_est,reward_pct_balance_est,retest_tol,retest_open,retest_high,retest_low,retest_close,limit_fillable,tags,h1_structure_trend,h1_fvg_type,h1_fvg_lower,h1_fvg_upper,h1_fvg_time_utc,h1_fvg_time_local,strength_bias_note,entry_line,exact_level
2026-01-31,BTCUSD,SELL,2026-01-31 14:15 UTC,2026-01-31 14:00 UTC,2026-01-31 09:15 UTC-5,2026-01-31 09:00 UTC-5,82209.171875,82209.171875,82913.328125,80096.703125,3.0,0.01,704.15625,2112.46875,7.0415625,21.1246875,6.770733173076923,20.31219951923077,0.0,82301.15625,82353.390625,82179.4140625,82179.4140625,True,"retest, H1-structure:DOWN",DOWN,,,,,,,"2026-01-31 BTCUSD SELL: 82209.17, TP 80096.70, SL 82913.33 (RR 1:3, lot 0.01)",True
2026-02-01,BTCUSD,SELL,2026-02-01 15:10 UTC,2026-02-01 15:00 UTC,2026-02-01 10:10 UTC-5,2026-02-01 10:00 UTC-5,77820.7421875,77820.7421875,78768.35435267857,74977.9056919643,3.0,0.01,947.6121651785652,2842.8364955356956,9.476121651785652,28.428364955356955,9.11165543440928,27.33496630322784,0.0,77853.921875,77853.921875,77543.3984375,77543.3984375,True,"retest, H1-structure:RANGE",RANGE,,,,,,,"2026-02-01 BTCUSD SELL: 77820.74, TP 74977.91, SL 78768.35 (RR 1:3, lot 0.01)",True
2026-02-03,BTCUSD,SELL,2026-02-03 17:40 UTC,2026-02-03 17:00 UTC,2026-02-03 12:40 UTC-5,2026-02-03 12:00 UTC-5,75453.3984375,75453.3984375,76494.37332589286,72330.47377232143,3.0,0.01,1040.974888392855,3122.924665178565,10.40974888392855,31.22924665178565,10.009373926854376,30.028121780563126,0.0,75460.203125,75460.203125,75145.5390625,75145.5390625,True,"retest, H1-structure:DOWN",DOWN,,,,,,,"2026-02-03 BTCUSD SELL: 75453.40, TP 72330.47, SL 76494.37 (RR 1:3, lot 0.01)",True
2026-02-04,BTCUSD,SELL,2026-02-04 13:35 UTC,2026-02-04 13:00 UTC,2026-02-04 08:35 UTC-5,2026-02-04 08:00 UTC-5,75543.5,75543.5,76634.09821428571,72271.70535714287,3.0,0.01,1090.5982142857101,3271.7946428571304,10.905982142857102,32.7179464285713,10.486521291208751,31.45956387362625,0.0,75696.65625,75696.65625,75513.5703125,75513.5703125,True,"retest, H1-structure:DOWN",DOWN,,,,,,,"2026-02-04 BTCUSD SELL: 75543.50, TP 72271.71, SL 76634.10 (RR 1:3, lot 0.01)",True
2026-02-05,BTCUSD,SELL,2026-02-05 02:00 UTC,2026-02-05 02:00 UTC,2026-02-04 21:00 UTC-5,2026-02-04 21:00 UTC-5,72321.9765625,72321.9765625,73331.82310267857,69292.4369419643,3.0,0.01,1009.8465401785652,3029.5396205356956,10.098465401785653,30.295396205356955,9.71006288633236,29.13018865899707,0.0,72259.9609375,72342.59375,72033.4296875,72033.4296875,True,"retest, H1-structure:DOWN",DOWN,,,,,,,"2026-02-05 BTCUSD SELL: 72321.98, TP 69292.44, SL 73331.82 (RR 1:3, lot 0.01)",True
2026-02-06,BTCUSD,BUY,2026-02-06 03:55 UTC,2026-02-06 01:00 UTC,2026-02-05 22:55 UTC-5,2026-02-05 20:00 UTC-5,63948.0078125,63948.0078125,62464.73939732143,68397.81305803571,3.0,0.01,1483.2684151785725,4449.80524553571,14.832684151785726,44.498052455357104,14.262196299793967,42.78658889938183,0.0,63888.23828125,64156.3125,63888.23828125,64074.9453125,True,"retest, H1-structure:DOWN",DOWN,,,,,,,"2026-02-06 BTCUSD BUY: 63948.01, TP 68397.81, SL 62464.74 (RR 1:3, lot 0.01)",True
